match_id,season,gameweek,status,home_team,away_team,home_elo,away_elo,elo_diff,home_form_5,home_goals_scored_5,home_goals_conceded_5,home_offensive_str,home_defensive_str,home_avg_overall,home_squad_value,away_form_5,away_goals_scored_5,away_goals_conceded_5,away_offensive_str,away_defensive_str,away_avg_overall,away_squad_value,odds_prob_home,odds_prob_draw,odds_prob_away,result
54,1999/00,,finished,stade-rennais,aj-auxerre,1458.6,1520.7,-62.100000000000136,2.4,2.6,1.8,2.6,1.8,73.39,253175000,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,H
55,1999/00,,finished,as-monaco,aj-auxerre,1534.4,1501.9,32.5,1.6,1.6,1.4,1.6,1.4,73.63,257100000,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,H
56,1999/00,,finished,aj-auxerre,fc-metz,1487.4,1492.9,-5.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,67.29,41450000,,,,D
57,1999/00,,finished,as-monaco,rc-lens,1548.9,1489.2,59.700000000000045,1.6,1.6,1.4,1.6,1.4,73.63,257100000,1.6,1.6,1.6,1.6,1.6,72.84,82750000,,,,H
58,1999/00,,finished,paris-saint-germain,stade-rennais,1509.9,1477.5,32.40000000000009,2.4,2.0,0.4,2.0,0.4,0.0,0,2.4,2.6,1.8,2.6,1.8,73.39,253175000,,,,H
59,1999/00,,finished,stade-rennais,olympique-lyonnais,1462.9,1583.0,-120.09999999999991,2.4,2.6,1.8,2.6,1.8,73.39,253175000,2.0,2.0,1.4,2.0,1.4,72.74,89500000,,,,A
60,1999/00,,finished,fc-metz,paris-saint-germain,1492.6,1524.4,-31.800000000000182,0.0,0.0,0.0,0.0,0.0,67.29,41450000,2.4,2.0,0.4,2.0,0.4,0.0,0,,,,A
61,1999/00,,finished,rc-lens,fc-nantes,1475.9,1453.0,22.90000000000009,1.6,1.6,1.6,1.6,1.6,72.84,82750000,0.8,1.0,1.4,1.0,1.4,69.58,54600000,,,,A
62,1999/00,,finished,aj-auxerre,paris-saint-germain,1487.6,1538.9,-51.30000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0,2.4,2.0,0.4,2.0,0.4,0.0,0,,,,H
63,1999/00,,finished,olympique-lyonnais,fc-metz,1593.7,1478.1,115.60000000000014,2.0,2.0,1.4,2.0,1.4,72.74,89500000,0.0,0.0,0.0,0.0,0.0,67.29,41450000,,,,H
